,imdb_title_id,avg_vote
0,tt0000009,5.9
1,tt0000574,6.1
2,tt0001892,5.8
3,tt0002101,5.2
4,tt0002130,7.0
5,tt0002199,5.7
6,tt0002423,6.8
7,tt0002445,6.2
8,tt0002452,6.7
9,tt0002461,5.5
10,tt0002646,6.6
11,tt0002844,7.0
12,tt0003014,7.1
13,tt0003037,7.0
14,tt0003102,6.2
15,tt0003131,6.5
16,tt0003165,7.0
17,tt0003167,5.8
18,tt0003419,6.5
19,tt0003471,6.0
20,tt0003489,6.2
21,tt0003637,6.4
22,tt0003643,6.4
23,tt0003657,6.5
24,tt0003740,7.1
25,tt0003772,6.0
26,tt0003883,7.5
27,tt0003930,6.9
28,tt0003973,5.8
29,tt0004026,6.8
30,tt0004066,7.0
31,tt0004099,5.2
32,tt0004134,6.6
33,tt0004150,5.8
34,tt0004181,6.1
35,tt0004457,5.5
36,tt0004465,6.3
37,tt0004635,5.7
38,tt0004681,6.1
39,tt0004707,6.3
40,tt0004712,6.3
41,tt0004743,5.3
42,tt0004766,5.6
43,tt0004825,6.4
44,tt0004838,5.7
45,tt0004872,6.6
46,tt0004873,6.2
47,tt0004972,6.3
48,tt0005060,6.4
49,tt0005078,6.6
50,tt0005149,6.0
51,tt0005339,5.8
52,tt0005402,6.4
53,tt0005529,6.8
54,tt0005557,6.6
55,tt0005680,5.9
56,tt0005719,5.6
57,tt0005809,6.1
58,tt0005916,6.9
59,tt0005951,6.9
60,tt0005960,6.8
61,tt0006206,7.3
62,tt0006327,5.9
63,tt0006333,6.2
64,tt0006509,4.5
65,tt0006517,6.0
66,tt0006589,6.8
67,tt0006617,6.1
68,tt0006688,6.4
69,tt0006731,5.3
70,tt0006736,6.6
71,tt0006745,5.7
72,tt0006753,6.6
73,tt0006780,6.8
74,tt0006809,5.9
75,tt0006826,5.6
76,tt0006864,7.8
77,tt0006886,7.4
78,tt0007047,6.0
79,tt0007183,7.0
80,tt0007257,4.7
81,tt0007260,6.5
82,tt0007309,5.6
83,tt0007338,6.4
84,tt0007340,6.8
85,tt0007361,6.2
86,tt0007367,5.3
87,tt0007522,5.8
88,tt0007558,6.3
89,tt0007610,5.9
90,tt0007755,6.0
91,tt0007801,6.5
92,tt0007983,6.1
93,tt0008011,6.1
94,tt0008100,6.5
95,tt0008150,6.5
96,tt0008188,5.9
97,tt0008196,5.7
98,tt0008279,6.4
99,tt0008309,6.7
100,tt0008395,7.1
101,tt0008443,6.7
102,tt0008489,6.4
103,tt0008499,6.1
104,tt0008519,5.7
105,tt0008536,6.9
106,tt0008634,6.2
107,tt0008652,6.0
108,tt0008663,7.4
109,tt0008672,6.0
110,tt0008679,4.8
111,tt0008687,6.1
112,tt0008710,6.7
113,tt0008775,6.4
114,tt0008827,5.8
115,tt0008843,5.9
116,tt0008854,5.5
117,tt0008879,7.3
118,tt0008891,7.0
119,tt0008930,6.0
120,tt0008950,6.0
121,tt0009014,5.9
122,tt0009062,6.2
123,tt0009086,5.4
124,tt0009150,6.4
125,tt0009153,6.1
126,tt0009241,5.1
127,tt0009326,6.5
128,tt0009356,5.2
129,tt0009369,5.9
130,tt0009440,6.4
131,tt0009475,4.4
132,tt0009559,6.1
133,tt0009608,5.1
134,tt0009611,7.3
135,tt0009652,6.7
136,tt0009682,5.7
137,tt0009701,7.0
138,tt0009737,5.9
139,tt0009796,6.8
140,tt0009878,7.0
141,tt0009892,5.9
142,tt0009893,7.2
143,tt0009894,7.1
144,tt0009900,6.3
145,tt0009915,7.1
146,tt0009937,7.0
147,tt0009968,7.3
148,tt0009976,5.7
149,tt0010040,6.5
150,tt0010060,5.9
151,tt0010071,6.6
152,tt0010103,5.3
153,tt0010137,5.4
154,tt0010162,6.5
155,tt0010193,5.8
156,tt0010195,6.8
157,tt0010208,5.6
158,tt0010219,3.9
159,tt0010227,5.6
160,tt0010247,7.3
161,tt0010267,6.7
162,tt0010281,6.9
163,tt0010298,6.9
164,tt0010307,7.7
165,tt0010323,8.1
166,tt0010418,7.0
167,tt0010456,6.0
168,tt0010466,6.6
169,tt0010484,6.9
170,tt0010559,6.3
171,tt0010598,6.6
172,tt0010600,7.4
173,tt0010635,5.2
174,tt0010662,4.9
175,tt0010680,6.3
176,tt0010726,6.6
177,tt0010755,6.9
178,tt0010806,7.0
179,tt0010821,6.5
180,tt0010844,6.6
181,tt0010853,6.7
182,tt0010879,6.9
183,tt0010890,6.4
184,tt0010925,5.5
185,tt0010953,6.3
186,tt0010962,6.6
187,tt0010964,6.4
188,tt0010969,6.7
189,tt0011000,6.7
190,tt0011130,7.0
191,tt0011157,6.6
192,tt0011173,6.2
193,tt0011193,6.6
194,tt0011217,6.4
195,tt0011221,6.0
196,tt0011237,7.2
197,tt0011267,5.1
198,tt0011294,7.1
199,tt0011302,6.9
200,tt0011317,6.2
201,tt0011344,6.2
202,tt0011358,6.6
203,tt0011369,6.0
204,tt0011370,6.8
205,tt0011371,6.7
206,tt0011387,6.7
207,tt0011414,4.9
208,tt0011415,5.9
209,tt0011439,7.1
210,tt0011440,6.6
211,tt0011474,6.5
212,tt0011513,5.7
213,tt0011588,6.4
214,tt0011607,7.1
215,tt0011623,6.1
216,tt0011641,6.5
217,tt0011647,5.7
218,tt0011652,6.1
219,tt0011679,6.0
220,tt0011716,5.2
221,tt0011723,6.4
222,tt0011741,6.3
223,tt0011742,6.1
224,tt0011753,5.5
225,tt0011779,6.5
226,tt0011833,6.9
227,tt0011837,6.1
228,tt0011841,7.4
229,tt0011865,6.7
230,tt0011870,6.3
231,tt0011904,6.8
232,tt0011908,6.0
233,tt0011909,6.6
234,tt0011948,6.9
235,tt0011960,7.0
236,tt0011979,6.8
237,tt0012016,6.4
238,tt0012027,6.6
239,tt0012068,6.8
240,tt0012122,5.5
241,tt0012125,6.4
242,tt0012134,7.0
243,tt0012136,6.4
244,tt0012187,6.5
245,tt0012190,7.2
246,tt0012249,7.0
247,tt0012281,6.8
248,tt0012313,6.7
